date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:32	72675/72675	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:32%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index.html	(from )
00:19:32	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20Aug%202022%2017:19:31%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/robots.txt		(from )
00:19:32	1506/1506	---M--	200	added ('OK')	image/x-icon	etag:%225984cb46-5e2%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/favicon.ico	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/favicon.ico	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:34	3794/3794	---MCZ	200	added ('OK')	text/css	etag:W/%22606e1b9e-ed2%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/css/vendors_css.css	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/css/vendors_css.css	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:35	763056/763056	---MCZ	200	added ('OK')	text/css	etag:W/%22606e4312-ba4b0%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/css/style.css	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/css/style.css	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:36	44774/44774	---MCZ	200	added ('OK')	text/css	etag:W/%22606e41c2-aee6%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/css/skin_color.css	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/css/skin_color.css	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:36	957/957	---M--	200	added ('OK')	image/svg+xml	etag:%225e5483b6-3bd%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/collapse.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/collapse.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:38	72675/72675	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:32%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index-2.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:38	4454/4454	---M--	200	added ('OK')	image/png	etag:%225e572a14-1166%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/logo-dark-text.png	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/logo-dark-text.png	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:39	4374/4374	---M--	200	added ('OK')	image/png	etag:%225e5729f8-1116%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/logo-light-text.png	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/logo-light-text.png	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:40	1501/1501	---M--	200	added ('OK')	image/svg+xml	etag:%225e55a8be-5dd%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/fullscreen.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/fullscreen.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:41	845/845	---M--	200	added ('OK')	image/svg+xml	etag:%225e548380-34d%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/search.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/search.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:42	791/791	---M--	200	added ('OK')	image/svg+xml	etag:%225e548388-317%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/notifications.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/notifications.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:43	862/862	---M--	200	added ('OK')	image/svg+xml	etag:%225e548372-35e%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/user.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/user.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:44	1118/1118	---M--	200	added ('OK')	image/svg+xml	etag:%225e54837a-45e%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/settings.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/settings.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:45	1156/1156	---M--	200	added ('OK')	image/svg+xml	etag:%225e55b9e6-484%22	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/sidebar-menu/dashboard.svg	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/images/svg-icon/sidebar-menu/dashboard.svg	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:47	72514/72514	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index2.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index2.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
00:19:48	67328/67328	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Apr%202021%2000:18:28%20GMT	https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index3.html	/Users/kieng/websites/cypto/crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/index3.html	(from https://crypto-tokenizer-admin-dashboard.multipurposethemes.com/bs5/main-dark/)
